36.3372802734375+0i,411.953500540716-4.59546459671485e-06i
36.6737365722656+0i,411.953499387495-4.78705981970314e-06i
37.0101928710938+0i,411.953498148961-5.00190975008719e-06i
37.3466491699219+0i,411.953496824004-5.23464399735408e-06i
37.68310546875+0i,411.953495415985-5.49813226463154e-06i
38.0195617675781+0i,411.953493963369-5.76914833407413e-06i
38.3560180664062+0i,411.953492514465-6.04539350762278e-06i
38.6924743652344+0i,411.953491085078-6.33087000590963e-06i
39.0289306640625+0i,411.953489731992-6.61212213519283e-06i
39.3653869628906+0i,411.953488466721-6.87884571588884e-06i
39.7018432617188+0i,411.953487335325-7.14272119106273e-06i
40.0382995605469+0i,411.95348632233-7.39811813473625e-06i
40.374755859375+0i,411.9534853751-7.66439689920105e-06i
40.7112121582031+0i,411.953484420518-7.94194903412629e-06i
41.0476684570312+0i,411.953483397452-8.24971974194307e-06i
41.3841247558594+0i,411.953482147061-8.58568317232051e-06i
41.7205810546875+0i,411.953480584834-8.96108690185692e-06i
42.0570373535156+0i,411.953478620204-9.36718247006642e-06i
42.3934936523438+0i,411.953476195564-9.79161789606731e-06i
42.7299499511719+0i,411.95347333891-1.02226838809506e-05i
43.06640625+0i,411.953470067718-1.06624156450122e-05i
43.4028625488281+0i,411.95346647279-1.11053018419736e-05i
43.7393188476562+0i,411.953462653039-1.15696010191691e-05i
44.0757751464844+0i,411.953458810225-1.20622393102091e-05i
44.4122314453125+0i,411.953455061277-1.26273664209763e-05i
44.7486877441406+0i,411.953451478235-1.33127420862304e-05i
45.0851440429688+0i,411.953448186455-1.41215530874609e-05i
45.4216003417969+0i,411.953445150505-1.50968317429591e-05i
45.758056640625+0i,411.953442341837-1.62409502689536e-05i
46.0945129394531+0i,411.953439599236-1.75440667554982e-05i
46.4309692382812+0i,411.953436781013-1.8967343758869e-05i
46.7674255371094+0i,411.953433787942-2.04231440051883e-05i
47.1038818359375+0i,411.953430433926-2.18582870008697e-05i
47.4403381347656+0i,411.953426613153-2.31722537997729e-05i
47.7767944335938+0i,411.953422244893-2.43092851033615e-05i
48.1132507324219+0i,411.953417217284-2.52176416723713e-05i
48.44970703125+0i,411.953411572528-2.59205777218375e-05i
48.7861633300781+0i,411.953405273911-2.64462950957954e-05i
49.1226196289062+0i,411.953398363486-2.68630868708536e-05i
49.4590759277344+0i,411.953390965886-2.7277522909312e-05i
49.7955322265625+0i,411.953383271728-2.78016027892389e-05i
50.1319885253906+0i,411.953375394155-2.84936592275283e-05i
50.4684448242188+0i,411.953367514081-2.94614821569571e-05i
50.8049011230469+0i,411.953359847187-3.06802385636508e-05i
51.141357421875+0i,411.953352371786-3.21985841602841e-05i
51.4778137207031+0i,411.953345195272-3.3920238759355e-05i
51.8142700195312+0i,411.953338277109-3.57972527598277e-05i
52.1507263183594+0i,411.953331451221-3.77272660989295e-05i
52.4871826171875+0i,411.953324528898-3.96985972672034e-05i
52.8236389160156+0i,411.953317173201-4.17622610534271e-05i
53.1600952148438+0i,411.95330895469-4.39420367536483e-05i
53.4965515136719+0i,411.95329940083-4.64556515898147e-05i
53.8330078125+0i,411.953288013081-4.94588141951789e-05i
54.1694641113281+0i,411.953274274564-5.32817256945778e-05i
54.5059204101562+0i,411.953257792342-5.80623813331883e-05i
54.8423767089844+0i,411.95323828778-6.40649190901363e-05i
55.1788330078125+0i,411.953215483228-7.14069557889672e-05i
55.5152893066406+0i,411.953189669246-7.99811561631082e-05i
