41.3818359375+0i,408.842278641492+9.11899757461081e-08i
41.748046875+0i,408.84227889603+9.45737788767225e-08i
42.1142578125+0i,408.842279077854+9.50866578944675e-08i
42.48046875+0i,408.842279175056+9.4926484349255e-08i
42.8466796875+0i,408.842279200844+9.68627856156353e-08i
43.212890625+0i,408.8422791544+1.02385922528714e-07i
43.5791015625+0i,408.842279009889+1.07857930085801e-07i
43.9453125+0i,408.842278713426+1.06127297542883e-07i
44.3115234375+0i,408.842278213762+8.97437687772354e-08i
44.677734375+0i,408.842277515892+5.54086752413858e-08i
45.0439453125+0i,408.842276698679+7.89320698780272e-09i
45.41015625+0i,408.842275931316-3.73870919576157e-08i
45.7763671875+0i,408.842275364312-6.1400089587336e-08i
46.142578125+0i,408.842275084336-4.78057919676293e-08i
46.5087890625+0i,408.842275041486+6.3017194219115e-09i
46.875+0i,408.842275047393+9.06507035879732e-08i
47.2412109375+0i,408.842274881685+1.83484735553612e-07i
47.607421875+0i,408.842274383893+2.6413027778414e-07i
47.9736328125+0i,408.842273602568+3.21332418963629e-07i
48.33984375+0i,408.842272704602+3.57581737994909e-07i
48.7060546875+0i,408.84227194854+3.77969773416162e-07i
49.072265625+0i,408.842271460828+3.80224753474278e-07i
49.4384765625+0i,408.842271164469+3.53935246226868e-07i
49.8046875+0i,408.842270910513+2.90338866805842e-07i
50.1708984375+0i,408.842270516868+1.95962865800559e-07i
50.537109375+0i,408.842269996733+1.02841693642851e-07i
50.9033203125+0i,408.842269382122+5.5028826110368e-08i
51.26953125+0i,408.842268662015+8.85870170112137e-08i
51.6357421875+0i,408.84226767019+2.00637501780194e-07i
52.001953125+0i,408.842266093303+3.53227431558471e-07i
52.3681640625+0i,408.842263703691+4.87674904919275e-07i
52.734375+0i,408.842260614936+5.51767312950242e-07i
53.1005859375+0i,408.842257276119+5.12459116459521e-07i
53.466796875+0i,408.842254154963+3.3775009821968e-07i
53.8330078125+0i,408.842251398252-2.25778242469593e-08i
54.19921875+0i,408.842248700206-6.33611516520921e-07i
54.5654296875+0i,408.842245625045-1.5225981478696e-06i
54.931640625+0i,408.842242095137-2.61062831608968e-06i
55.2978515625+0i,408.842238860875-3.669240329812e-06i
55.6640625+0i,408.842237179044-4.37260830276751e-06i
56.0302734375+0i,408.842238156378-4.39461311214746e-06i
56.396484375+0i,408.842241514433-3.59690689132466e-06i
56.7626953125+0i,408.842245219561-2.10019611431486e-06i
57.12890625+0i,408.842246016886-2.64300765793106e-07i
57.4951171875+0i,408.842240897475+1.48378136650227e-06i
57.861328125+0i,408.842228596908+2.82027601923782e-06i
58.2275390625+0i,408.842210379993+3.66116421768841e-06i
58.59375+0i,408.842189580834+4.13150970440693e-06i
58.9599609375+0i,408.842170065457+4.44009880046883e-06i
59.326171875+0i,408.842154600733+4.73031157209223e-06i
59.6923828125+0i,408.842143921906+4.99874915239103e-06i
60.05859375+0i,408.842136833171+5.12963137168609e-06i
60.4248046875+0i,408.842131019553+5.0113186763085e-06i
