0.336456298828125+0i,411.945836504081-6.7458824586857e-13i
0.67291259765625+0i,411.945836498629-5.42184718055696e-12i
1.00936889648438+0i,411.945836493996-1.4662358061468e-11i
1.3458251953125+0i,411.945836493566-2.42589279425074e-11i
1.68228149414062+0i,411.945836497913-2.9720628014496e-11i
2.01873779296875+0i,411.945836503819-3.13352085851218e-11i
2.35519409179688+0i,411.945836508178-2.93831211840274e-11i
2.691650390625+0i,411.945836508527-2.34032300725715e-11i
3.02810668945312+0i,411.945836505644-7.46883131954362e-12i
3.36456298828125+0i,411.945836502305+3.55580597973078e-11i
3.70101928710938+0i,411.945836499459+1.11718343267645e-10i
4.0374755859375+0i,411.94583649469+2.06192318123635e-10i
4.37393188476562+0i,411.945836479702+2.86246857344749e-10i
4.71038818359375+0i,411.945836447631+3.02580864871331e-10i
5.04684448242188+0i,411.945836395147+2.34547036222849e-10i
5.38330078125+0i,411.945836327266+1.0251302670596e-10i
5.71975708007812+0i,411.945836258964-1.45611469041043e-12i
6.05621337890625+0i,411.945836208638+2.31949480741293e-11i
6.39266967773438+0i,411.945836187517+2.87995438391716e-10i
6.7291259765625+0i,411.945836198111+6.79153736600132e-10i
7.06558227539062+0i,411.945836223079+1.07420109304748e-09i
7.40203857421875+0i,411.945836234822+1.08889871732667e-09i
7.73849487304688+0i,411.945836202347+4.79274956039025e-10i
8.074951171875+0i,411.945836100221-1.12232318738417e-09i
8.41140747070312+0i,411.945835918745-3.80499279060403e-09i
8.74786376953125+0i,411.945835662203-7.54453716818732e-09i
9.08432006835938+0i,411.945835357884-1.19881297309927e-08i
9.4207763671875+0i,411.945835033891-1.69329506026346e-08i
9.75723266601562+0i,411.945834719678-2.16715672632969e-08i
10.0936889648438+0i,411.945834437749-2.56852558702213e-08i
10.4301452636719+0i,411.945834201814-2.85621123647442e-08i
10.7666015625+0i,411.945834009067-3.01658649070121e-08i
11.1030578613281+0i,411.945833847756-3.03477258108556e-08i
11.4395141601562+0i,411.945833697798-2.92423330067248e-08i
11.7759704589844+0i,411.945833535349-2.70557700693682e-08i
12.1124267578125+0i,411.945833341735-2.47767995490849e-08i
12.4488830566406+0i,411.945833103515-2.26738015696737e-08i
12.7853393554688+0i,411.945832821319-2.17522305962148e-08i
13.1217956542969+0i,411.945832505148-2.26610365370307e-08i
13.458251953125+0i,411.94583217277-2.5585621507174e-08i
13.7947082519531+0i,411.945831841277-3.04365455909954e-08i
14.1311645507812+0i,411.945831525948-3.77890316425746e-08i
14.4676208496094+0i,411.945831234103-4.70803102357883e-08i
14.8040771484375+0i,411.945830963364-5.69993527762792e-08i
15.1405334472656+0i,411.945830709546-6.83151013014232e-08i
15.4769897460938+0i,411.945830461344-7.89926803670707e-08i
15.8134460449219+0i,411.945830218376-8.86740351958093e-08i
16.14990234375+0i,411.945829982005-9.65987080440247e-08i
16.4863586425781+0i,411.945829762368-1.02000966996811e-07i
16.8228149414062+0i,411.945829575358-1.04655924384071e-07i
17.1592712402344+0i,411.945829429651-1.04403611031051e-07i
17.4957275390625+0i,411.945829340081-1.00783427639199e-07i
17.8321838378906+0i,411.94582930597-9.69249611814634e-08i
18.1686401367188+0i,411.945829316546-9.29515351941123e-08i
18.5050964355469+0i,411.945829366027-9.15830594863752e-08i
18.841552734375+0i,411.94582943416-9.36620987495851e-08i
19.1780090332031+0i,411.945829503622-9.91752544154515e-08i
19.5144653320312+0i,411.945829549462-1.08665396954141e-07i
19.8509216308594+0i,411.945829561686-1.20882584916537e-07i
20.1873779296875+0i,411.945829522738-1.35883443143248e-07i
20.5238342285156+0i,411.945829435495-1.50342431309163e-07i
20.8602905273438+0i,411.945829309893-1.63270147318903e-07i
21.1967468261719+0i,411.945829159066-1.7454935767776e-07i
21.533203125+0i,411.94582901092-1.82092111736392e-07i
21.8696594238281+0i,411.945828878823-1.85821485158004e-07i
22.2061157226562+0i,411.945828777658-1.89315611284824e-07i
22.5425720214844+0i,411.945828718605-1.90676428161259e-07i
22.8790283203125+0i,411.945828687151-1.95046862984884e-07i
23.2154846191406+0i,411.945828661818-2.03833176216274e-07i
23.5519409179688+0i,411.945828630084-2.18862309629435e-07i
23.8883972167969+0i,411.945828566892-2.41202755093032e-07i
24.224853515625+0i,411.945828453527-2.71049648397922e-07i
24.5613098144531+0i,411.945828273721-3.07110568977135e-07i
