414.51416015625+0i,2.31034468965146+0i
417.205810546875+0i,2.28582227539081+0i
419.8974609375+0i,2.22044290518615+0i
422.589111328125+0i,2.15734372796617+0i
425.28076171875+0i,2.12926514672553+0i
427.972412109375+0i,2.10304558792705+0i
430.6640625+0i,2.08339537751879+0i
433.355712890625+0i,2.10877724436187+0i
436.04736328125+0i,2.13205211658165+0i
438.739013671875+0i,2.1067947648989+0i
441.4306640625+0i,2.08083376676174+0i
444.122314453125+0i,2.00303539234897+0i
446.81396484375+0i,1.96581724719726+0i
449.505615234375+0i,1.91152214747699+0i
452.197265625+0i,1.88952191043943+0i
454.888916015625+0i,1.83556974508728+0i
457.58056640625+0i,1.78653915702603+0i
460.272216796875+0i,1.73616906370077+0i
462.9638671875+0i,1.73012130674165+0i
465.655517578125+0i,1.69771633280066+0i
468.34716796875+0i,1.69351474165836+0i
471.038818359375+0i,1.66237756214799+0i
473.73046875+0i,1.62287188891582+0i
476.422119140625+0i,1.58986271587374+0i
479.11376953125+0i,1.59438162989067+0i
481.805419921875+0i,1.59707717487459+0i
484.4970703125+0i,1.60177051492707+0i
487.188720703125+0i,1.58046403726702+0i
489.88037109375+0i,1.5094170710816+0i
492.572021484375+0i,1.52337679454039+0i
495.263671875+0i,1.53080549685108+0i
497.955322265625+0i,1.50541186039843+0i
500.64697265625+0i,1.53868040581204+0i
503.338623046875+0i,1.52310109182285+0i
506.0302734375+0i,1.49927223158188+0i
508.721923828125+0i,1.48693704802276+0i
511.41357421875+0i,1.52427028312415+0i
514.105224609375+0i,1.57356496737125+0i
516.796875+0i,1.59213779144988+0i
519.488525390625+0i,1.6105045415192+0i
522.18017578125+0i,1.61439849445866+0i
524.871826171875+0i,1.56181713528241+0i
527.5634765625+0i,1.50334989602469+0i
530.255126953125+0i,1.45292332144434+0i
532.94677734375+0i,1.39515441446887+0i
535.638427734375+0i,1.37332853171736+0i
538.330078125+0i,1.31514749799265+0i
541.021728515625+0i,1.27469852499425+0i
543.71337890625+0i,1.21410761210059+0i
546.405029296875+0i,1.17879782950748+0i
549.0966796875+0i,1.1579717667861+0i
551.788330078125+0i,1.11480371152305+0i
554.47998046875+0i,1.11787017010856+0i
557.171630859375+0i,1.09458950780518+0i
559.86328125+0i,1.06813399276913+0i
562.554931640625+0i,1.05960366475438+0i
565.24658203125+0i,1.05509053162994+0i
567.938232421875+0i,1.08304694445311+0i
570.6298828125+0i,1.0849735643397+0i
573.321533203125+0i,1.11272812022097+0i
576.01318359375+0i,1.12952804415691+0i
578.704833984375+0i,1.11238178865008+0i
581.396484375+0i,1.11928018045284+0i
584.088134765625+0i,1.14765197684587+0i
586.77978515625+0i,1.17931954942629+0i
589.471435546875+0i,1.13260759888008+0i
592.1630859375+0i,1.10241077175955+0i
594.854736328125+0i,1.11143692696345+0i
597.54638671875+0i,1.08854151947338+0i
600.238037109375+0i,1.10726015221638+0i
602.9296875+0i,1.12654728434121+0i
605.621337890625+0i,1.14490346251727+0i
608.31298828125+0i,1.12142728724269+0i
611.004638671875+0i,1.1235224894266+0i
613.6962890625+0i,1.09683197885886+0i
616.387939453125+0i,1.08052441686312+0i
619.07958984375+0i,1.08037839523708+0i
621.771240234375+0i,1.08000198041816+0i
624.462890625+0i,1.08261489870474+0i
627.154541015625+0i,1.0181174158371+0i
629.84619140625+0i,1.02315385792283+0i
632.537841796875+0i,1.03267899063453+0i
635.2294921875+0i,0.998764723729124+0i
637.921142578125+0i,1.01931016490923+0i
640.61279296875+0i,1.02823469503557+0i
643.304443359375+0i,1.03097041217547+0i
645.99609375+0i,1.03720241353826+0i
648.687744140625+0i,1.047881792267+0i
651.37939453125+0i,1.05197644658181+0i
654.071044921875+0i,1.06402783186425+0i
656.7626953125+0i,1.04882077066217+0i
659.454345703125+0i,1.1171668072022+0i
662.14599609375+0i,1.17041916369371+0i
664.837646484375+0i,1.17230742720657+0i
667.529296875+0i,1.14888708225654+0i
670.220947265625+0i,1.13995071049289+0i
672.91259765625+0i,1.12441084965787+0i
675.604248046875+0i,1.10099916130737+0i
678.2958984375+0i,1.09583033330632+0i
680.987548828125+0i,1.08274975795655+0i
683.67919921875+0i,1.07877217402151+0i
686.370849609375+0i,1.0353859936942+0i
689.0625+0i,1.02173325205989+0i
691.754150390625+0i,0.954982855329909+0i
694.44580078125+0i,0.904018095554534+0i
697.137451171875+0i,0.908143317276737+0i
699.8291015625+0i,0.909582213569699+0i
702.520751953125+0i,0.896271489806365+0i
705.21240234375+0i,0.855384698036774+0i
707.904052734375+0i,0.887143043835593+0i
710.595703125+0i,0.88256982961527+0i
713.287353515625+0i,0.876153511913592+0i
715.97900390625+0i,0.875192502155962+0i
718.670654296875+0i,0.873823381080143+0i
721.3623046875+0i,0.840775914689574+0i
724.053955078125+0i,0.855399068023492+0i
726.74560546875+0i,0.887228784306247+0i
729.437255859375+0i,0.922257074873309+0i
732.12890625+0i,0.951578971013046+0i
734.820556640625+0i,0.963032489321661+0i
737.51220703125+0i,0.980927152123399+0i
740.203857421875+0i,0.97197851099865+0i
742.8955078125+0i,1.06888292721099+0i
745.587158203125+0i,1.06794306700548+0i
748.27880859375+0i,1.07215308512591+0i
750.970458984375+0i,1.09058480248109+0i
753.662109375+0i,1.09583161378605+0i
756.353759765625+0i,1.06655394467192+0i
759.04541015625+0i,1.13248953339518+0i
761.737060546875+0i,1.14048042108293+0i
764.4287109375+0i,1.07553695408549+0i
767.120361328125+0i,1.08037280655201+0i
769.81201171875+0i,1.11562005768031+0i
772.503662109375+0i,1.13931830120649+0i
775.1953125+0i,1.06894160494677+0i
777.886962890625+0i,1.12502486647696+0i
780.57861328125+0i,1.14091922239862+0i
783.270263671875+0i,1.06633451343257+0i
785.9619140625+0i,1.03630757475509+0i
788.653564453125+0i,1.01584641474947+0i
791.34521484375+0i,0.945315090742971+0i
794.036865234375+0i,1.01087767413041+0i
796.728515625+0i,1.08810461455244+0i
799.420166015625+0i,0.985687127809599+0i
802.11181640625+0i,0.981654478662349+0i
804.803466796875+0i,0.985960087122387+0i
807.4951171875+0i,1.05838914204459+0i
810.186767578125+0i,1.11311650709298+0i
812.87841796875+0i,1.02729864664004+0i
815.570068359375+0i,0.980081941816782+0i
818.26171875+0i,1.02544483469338+0i
820.953369140625+0i,1.05366437701763+0i
823.64501953125+0i,1.09118833045339+0i
826.336669921875+0i,1.15389825515387+0i
829.0283203125+0i,1.06477774560493+0i
831.719970703125+0i,1.09292005978821+0i
834.41162109375+0i,1.06269020683784+0i
837.103271484375+0i,1.11031087837201+0i
839.794921875+0i,1.10876090934854+0i
842.486572265625+0i,0.994037584427975+0i
845.17822265625+0i,0.980965536859571+0i
847.869873046875+0i,1.04276303020377+0i
850.5615234375+0i,1.0762175938196+0i
853.253173828125+0i,1.07840335213591+0i
855.94482421875+0i,1.09930283403181+0i
858.636474609375+0i,1.08347934056508+0i
861.328125+0i,1.05656319338189+0i
864.019775390625+0i,0.951204360436156+0i
866.71142578125+0i,0.900907288394557+0i
869.403076171875+0i,0.827239199311781+0i
872.0947265625+0i,0.748960139963181+0i
874.786376953125+0i,0.783991471510576+0i
877.47802734375+0i,0.881390679728198+0i
880.169677734375+0i,0.882484794974093+0i
882.861328125+0i,0.831172786886261+0i
885.552978515625+0i,0.839208326365671+0i
888.24462890625+0i,0.847266569443726+0i
890.936279296875+0i,0.839037447551687+0i
893.6279296875+0i,0.787946634080267+0i
896.319580078125+0i,0.747282389446983+0i
899.01123046875+0i,0.789872240553238+0i
901.702880859375+0i,0.831834714855906+0i
904.39453125+0i,0.818561739344115+0i
907.086181640625+0i,0.790337334344359+0i
909.77783203125+0i,0.828043174906103+0i
912.469482421875+0i,0.826517314555378+0i
915.1611328125+0i,0.84181005611119+0i
917.852783203125+0i,0.83950792711378+0i
920.54443359375+0i,0.791338671538904+0i
923.236083984375+0i,0.850232069399968+0i
925.927734375+0i,0.964318055006508+0i
928.619384765625+0i,1.04133882971514+0i
931.31103515625+0i,1.05639967443048+0i
934.002685546875+0i,1.01311653062004+0i
936.6943359375+0i,0.96925426182012+0i
939.385986328125+0i,0.990667282879888+0i
942.07763671875+0i,0.969082147954467+0i
944.769287109375+0i,0.944516427287035+0i
947.4609375+0i,0.868747186538366+0i
950.152587890625+0i,0.815456821792127+0i
952.84423828125+0i,0.840601170240877+0i
955.535888671875+0i,0.828461598831066+0i
958.2275390625+0i,0.782745207830693+0i
960.919189453125+0i,0.739882735209853+0i
963.61083984375+0i,0.700935753202068+0i
966.302490234375+0i,0.694835778079869+0i
968.994140625+0i,0.686913599530745+0i
971.685791015625+0i,0.688032333539758+0i
974.37744140625+0i,0.733072480168315+0i
977.069091796875+0i,0.711124504385233+0i
979.7607421875+0i,0.685189166980682+0i
982.452392578125+0i,0.702254112454352+0i
985.14404296875+0i,0.700481082884768+0i
987.835693359375+0i,0.69033535658174+0i
990.52734375+0i,0.72096577795614+0i
993.218994140625+0i,0.719656649940451+0i
995.91064453125+0i,0.734737606956841+0i
998.602294921875+0i,0.771470680623553+0i
1001.2939453125+0i,0.743650572447845+0i
1003.98559570312+0i,0.742087678206191+0i
1006.67724609375+0i,0.755382070511296+0i
1009.36889648438+0i,0.725783096630439+0i
1012.060546875+0i,0.693799130056616+0i
1014.75219726562+0i,0.673850091313293+0i
1017.44384765625+0i,0.676036385369631+0i
1020.13549804688+0i,0.70152481754895+0i
1022.8271484375+0i,0.707446240531176+0i
1025.51879882812+0i,0.686512245301293+0i
1028.21044921875+0i,0.707311721786543+0i
1030.90209960938+0i,0.694750902856416+0i
1033.59375+0i,0.653888699445043+0i
1036.28540039062+0i,0.679749235259744+0i
1038.97705078125+0i,0.583132786544849+0i
1041.66870117188+0i,0.57183082717147+0i
1044.3603515625+0i,0.550343726943957+0i
1047.05200195312+0i,0.589848698870146+0i
1049.74365234375+0i,0.612689526104097+0i
1052.43530273438+0i,0.605012787185583+0i
1055.126953125+0i,0.642459991580557+0i
1057.81860351562+0i,0.634759339040889+0i
1060.51025390625+0i,0.710709311920093+0i
1063.20190429688+0i,0.740440157446841+0i
1065.8935546875+0i,0.836518974709123+0i
1068.58520507812+0i,0.798696812117575+0i
1071.27685546875+0i,0.844839304647422+0i
1073.96850585938+0i,0.823472945251267+0i
1076.66015625+0i,0.893697862256851+0i
1079.35180664062+0i,0.863272103395081+0i
1082.04345703125+0i,0.718778346130145+0i
1084.73510742188+0i,0.685942715626443+0i
1087.4267578125+0i,0.660705832719542+0i
1090.11840820312+0i,0.608979074407301+0i
1092.81005859375+0i,0.590577550152757+0i
1095.50170898438+0i,0.596261106326734+0i
1098.193359375+0i,0.618694390516555+0i
1100.88500976562+0i,0.642791355439263+0i
1103.57666015625+0i,0.585811881177549+0i
1106.26831054688+0i,0.580058439038564+0i
1108.9599609375+0i,0.612410543185897+0i
1111.65161132812+0i,0.631651443685932+0i
1114.34326171875+0i,0.635344289292137+0i
1117.03491210938+0i,0.658796773109415+0i
1119.7265625+0i,0.650644279562159+0i
1122.41821289062+0i,0.631063171891289+0i
1125.10986328125+0i,0.639277894568011+0i
1127.80151367188+0i,0.627494935513122+0i
1130.4931640625+0i,0.656491733237677+0i
1133.18481445312+0i,0.685875103750696+0i
1135.87646484375+0i,0.699138342899461+0i
1138.56811523438+0i,0.70943232695081+0i
1141.259765625+0i,0.749529454846293+0i
1143.95141601562+0i,0.782792684442082+0i
1146.64306640625+0i,0.871098925616393+0i
1149.33471679688+0i,0.873678663050022+0i
1152.0263671875+0i,0.807261239853998+0i
1154.71801757812+0i,0.826020469222209+0i
1157.40966796875+0i,0.838342515070596+0i
1160.10131835938+0i,0.804188380101606+0i
1162.79296875+0i,0.732476650018564+0i
1165.48461914062+0i,0.710719123312587+0i
1168.17626953125+0i,0.664525159687073+0i
1170.86791992188+0i,0.649545655167982+0i
1173.5595703125+0i,0.675905346784879+0i
1176.25122070312+0i,0.636983858073051+0i
1178.94287109375+0i,0.606297198178011+0i
1181.63452148438+0i,0.631057275723203+0i
1184.326171875+0i,0.653552437416573+0i
1187.01782226562+0i,0.636074064391661+0i
1189.70947265625+0i,0.614175091321934+0i
1192.40112304688+0i,0.608742469740587+0i
1195.0927734375+0i,0.617829241872381+0i
1197.78442382812+0i,0.648037863189719+0i
1200.47607421875+0i,0.637303536523848+0i
1203.16772460938+0i,0.590875876950759+0i
1205.859375+0i,0.630341495687387+0i
1208.55102539062+0i,0.649929943045801+0i
1211.24267578125+0i,0.658398079818429+0i
1213.93432617188+0i,0.682915046691793+0i
1216.6259765625+0i,0.695847239396922+0i
1219.31762695312+0i,0.715029633746844+0i
1222.00927734375+0i,0.720052277689543+0i
1224.70092773438+0i,0.688644124366508+0i
1227.392578125+0i,0.670053256890824+0i
1230.08422851562+0i,0.693623507846907+0i
1232.77587890625+0i,0.686458622789309+0i
1235.46752929688+0i,0.677766717799555+0i
1238.1591796875+0i,0.631770036400078+0i
1240.85083007812+0i,0.620822564934853+0i
1243.54248046875+0i,0.604214592198611+0i
1246.23413085938+0i,0.60350890325591+0i
1248.92578125+0i,0.602753813047079+0i
1251.61743164062+0i,0.566791134813948+0i
1254.30908203125+0i,0.562763793538343+0i
1257.00073242188+0i,0.573547520677285+0i
1259.6923828125+0i,0.542508018678205+0i
1262.38403320312+0i,0.522183553452544+0i
1265.07568359375+0i,0.541230190816422+0i
1267.76733398438+0i,0.550918919440056+0i
1270.458984375+0i,0.54977563637557+0i
1273.15063476562+0i,0.557156993425164+0i
1275.84228515625+0i,0.578181921417311+0i
1278.53393554688+0i,0.593918348245023+0i
1281.2255859375+0i,0.602929480990548+0i
1283.91723632812+0i,0.606487708076809+0i
1286.60888671875+0i,0.630945320130641+0i
1289.30053710938+0i,0.629373424242926+0i
1291.9921875+0i,0.625104138676222+0i
1294.68383789062+0i,0.628078553726423+0i
1297.37548828125+0i,0.607613005377712+0i
1300.06713867188+0i,0.601812585183992+0i
1302.7587890625+0i,0.625285764225413+0i
1305.45043945312+0i,0.643927143973024+0i
1308.14208984375+0i,0.622743169495421+0i
1310.83374023438+0i,0.624636331971056+0i
1313.525390625+0i,0.595179678711714+0i
1316.21704101562+0i,0.557063235789304+0i
1318.90869140625+0i,0.55325883730273+0i
1321.60034179688+0i,0.569680697990681+0i
