0.336456298828125+0i,410.709630175494-2.12008957568601e-10i
0.67291259765625+0i,410.709630206969-3.78506130125007e-10i
1.00936889648438+0i,410.709630245644-4.80079443303754e-10i
1.3458251953125+0i,410.709630275622-5.35422951643687e-10i
1.68228149414062+0i,410.709630288658-5.79729557733523e-10i
2.01873779296875+0i,410.7096302901-6.27761373567366e-10i
2.35519409179688+0i,410.709630290993-6.5924397895991e-10i
2.691650390625+0i,410.709630302196-6.35538634001248e-10i
3.02810668945312+0i,410.709630325379-5.42436855916825e-10i
3.36456298828125+0i,410.709630351019-4.21106898250453e-10i
3.70101928710938+0i,410.709630364086-3.60892330557529e-10i
4.0374755859375+0i,410.709630357541-4.24430891112141e-10i
4.37393188476562+0i,410.70963033918-5.83172973065591e-10i
4.71038818359375+0i,410.709630323417-7.46684476483215e-10i
5.04684448242188+0i,410.709630335887-7.08089941250527e-10i
5.38330078125+0i,410.70963037425-4.57532708706237e-10i
5.71975708007812+0i,410.70963041936-1.46571638757115e-10i
6.05621337890625+0i,410.709630433511-1.32668269699568e-10i
6.39266967773438+0i,410.709630384876-7.67188488696159e-10i
6.7291259765625+0i,410.709630274743-2.08273837725708e-09i
7.06558227539062+0i,410.709630135058-3.75210808854011e-09i
7.40203857421875+0i,410.709630030023-4.99447245183984e-09i
7.73849487304688+0i,410.709630006346-5.19094623873696e-09i
8.074951171875+0i,410.70963006874-4.19815482525179e-09i
8.41140747070312+0i,410.709630174993-2.56538817341153e-09i
8.74786376953125+0i,410.709630250664-1.35710346767684e-09i
9.08432006835938+0i,410.70963023915-1.49622544715706e-09i
9.4207763671875+0i,410.709630135625-3.1375131596303e-09i
9.75723266601562+0i,410.709629990116-5.55772730549571e-09i
10.0936889648438+0i,410.709629869704-7.68186337038957e-09i
10.4301452636719+0i,410.709629823808-8.74923038309828e-09i
10.7666015625+0i,410.709629835399-9.15540430023392e-09i
11.1030578613281+0i,410.709629839931-1.02614881276986e-08i
11.4395141601562+0i,410.709629760801-1.36061581777082e-08i
11.7759704589844+0i,410.709629561527-1.98190144428593e-08i
12.1124267578125+0i,410.709629297035-2.74031051438947e-08i
12.4488830566406+0i,410.709629081424-3.34146269974069e-08i
