0.336456298828125+0i,410.676203479826-3.95367002917739e-11i
0.67291259765625+0i,410.676203473113-8.04931993185223e-11i
1.00936889648438+0i,410.676203471253-1.17042824123346e-10i
1.3458251953125+0i,410.676203479462-1.36544362790291e-10i
1.68228149414062+0i,410.676203498661-1.30334903098438e-10i
2.01873779296875+0i,410.676203515444-1.22105654380355e-10i
2.35519409179688+0i,410.676203516559-1.50669685954065e-10i
2.691650390625+0i,410.676203491358-2.67511027077432e-10i
3.02810668945312+0i,410.676203441478-4.97779804547739e-10i
3.36456298828125+0i,410.676203383935-7.98255697616799e-10i
3.70101928710938+0i,410.676203340022-1.08969033376974e-09i
4.0374755859375+0i,410.67620332986-1.25378315254228e-09i
4.37393188476562+0i,410.676203356674-1.22309513163574e-09i
4.71038818359375+0i,410.676203410889-1.00032855305601e-09i
5.04684448242188+0i,410.676203468947-6.87742445738791e-10i
5.38330078125+0i,410.676203515111-3.80990568606964e-10i
5.71975708007812+0i,410.676203541032-1.66671789581134e-10i
6.05621337890625+0i,410.676203551265-5.80752691890656e-11i
6.39266967773438+0i,410.676203552406-3.55964798153871e-11i
6.7291259765625+0i,410.676203544464-1.115562418181e-10i
7.06558227539062+0i,410.67620351561-3.90967239409748e-10i
7.40203857421875+0i,410.67620344741-1.06796539589432e-09i
7.73849487304688+0i,410.676203339738-2.21846397136238e-09i
8.074951171875+0i,410.676203209325-3.78910029905323e-09i
8.41140747070312+0i,410.676203099829-5.41677124405084e-09i
8.74786376953125+0i,410.676203057516-6.57616384887023e-09i
9.08432006835938+0i,410.676203111955-6.74901621983924e-09i
9.4207763671875+0i,410.676203236237-5.90398677525852e-09i
9.75723266601562+0i,410.676203363577-4.50367859782161e-09i
10.0936889648438+0i,410.676203398625-3.63540678133584e-09i
10.4301452636719+0i,410.676203285423-4.15507941138992e-09i
10.7666015625+0i,410.676203028322-6.44568939608912e-09i
11.1030578613281+0i,410.676202705703-9.98556669683702e-09i
11.4395141601562+0i,410.676202444261-1.34138775148474e-08i
11.7759704589844+0i,410.676202349274-1.52011989617773e-08i
12.1124267578125+0i,410.676202468331-1.4336367157144e-08i
12.4488830566406+0i,410.676202755833-1.10564003080256e-08i
12.7853393554688+0i,410.676203089473-6.95944741747001e-09i
13.1217956542969+0i,410.67620332951-4.29598483923676e-09i
13.458251953125+0i,410.676203374705-5.04324722113527e-09i
13.7947082519531+0i,410.676203200253-1.00030033462846e-08i
14.1311645507812+0i,410.676202877051-1.79907963298484e-08i
14.4676208496094+0i,410.676202536734-2.62705839364968e-08i
14.8040771484375+0i,410.67620229379-3.20832689985407e-08i
15.1405334472656+0i,410.676202243884-3.29938232878478e-08i
15.4769897460938+0i,410.676202380681-2.88843800394407e-08i
15.8134460449219+0i,410.676202650872-2.11343729730507e-08i
16.14990234375+0i,410.676202948477-1.27458575406619e-08i
16.4863586425781+0i,410.676203167325-6.79676646687304e-09i
16.8228149414062+0i,410.67620324493-5.08770766217813e-09i
17.1592712402344+0i,410.676203172199-7.63674467694717e-09i
17.4957275390625+0i,410.676202989131-1.28696556508037e-08i
17.8321838378906+0i,410.676202764905-1.84771455163047e-08i
18.1686401367188+0i,410.676202568438-2.24979262672024e-08i
18.5050964355469+0i,410.676202453579-2.3892871407898e-08i
18.841552734375+0i,410.676202438877-2.28205289827709e-08i
19.1780090332031+0i,410.676202513257-2.0342988570424e-08i
19.5144653320312+0i,410.676202658912-1.72214994942964e-08i
19.8509216308594+0i,410.676202826426-1.45811606519393e-08i
20.1873779296875+0i,410.676202982288-1.26261271662896e-08i
20.5238342285156+0i,410.676203078738-1.18172217567379e-08i
20.8602905273438+0i,410.676203102476-1.19231482134835e-08i
21.1967468261719+0i,410.676203071149-1.23007093214923e-08i
21.533203125+0i,410.676203018168-1.23252450187845e-08i
21.8696594238281+0i,410.676202992586-1.13897570071333e-08i
22.2061157226562+0i,410.676203004549-1.01874864153955e-08i
22.5425720214844+0i,410.676203027436-1.05774104822509e-08i
22.8790283203125+0i,410.676202996246-1.52690137947247e-08i
23.2154846191406+0i,410.676202830721-2.67617171924543e-08i
23.5519409179688+0i,410.676202505594-4.52305911383517e-08i
23.8883972167969+0i,410.676202075072-6.73443408468553e-08i
24.224853515625+0i,410.676201646614-8.77658219534675e-08i
24.5613098144531+0i,410.676201368396-1.00076505536203e-07i
24.8977661132812+0i,410.676201322543-1.00807324850544e-07i
25.2342224121094+0i,410.676201505677-9.06435052267681e-08i
25.5706787109375+0i,410.676201862548-7.26356207912761e-08i
25.9071350097656+0i,410.676202295278-5.18951589977151e-08i
26.2435913085938+0i,410.676202727254-3.21725175403318e-08i
26.5800476074219+0i,410.676203122078-1.51875417253591e-08i
26.91650390625+0i,410.67620341806-3.57407595915222e-09i
27.2529602050781+0i,410.676203489077-2.59325268984816e-09i
27.5894165039062+0i,410.676203136737-2.14803809097668e-08i
27.9258728027344+0i,410.676202164514-6.99940444445708e-08i
28.2623291015625+0i,410.676200524785-1.51935234399776e-07i
28.5987854003906+0i,410.676198415875-2.59787262141473e-07i
28.9352416992188+0i,410.676196407415-3.67372175584451e-07i
29.2716979980469+0i,410.676195087571-4.45624882561197e-07i
29.608154296875+0i,410.676195007115-4.64835106054706e-07i
29.9446105957031+0i,410.676196295168-4.13332684301937e-07i
30.2810668945312+0i,410.676198569881-3.04596678483857e-07i
30.6175231933594+0i,410.676201040226-1.73656542992722e-07i
30.9539794921875+0i,410.676202795038-6.56532536746712e-08i
31.2904357910156+0i,410.676203236505-1.34071266927574e-08i
31.6268920898438+0i,410.67620225715-2.86285102672235e-08i
31.9633483886719+0i,410.676200289322-9.58108456620645e-08i
32.2998046875+0i,410.676198096148-1.82080761265193e-07i
32.6362609863281+0i,410.676196449102-2.50999717628872e-07i
32.9727172851562+0i,410.676195763386-2.81282628702248e-07i
33.3091735839844+0i,410.67619610442-2.68805905288687e-07i
33.6456298828125+0i,410.676197152151-2.27690980480974e-07i
33.9820861816406+0i,410.67619845333-1.79500271321925e-07i
34.3185424804688+0i,410.676199653022-1.40542629784798e-07i
34.6549987792969+0i,410.676200576953-1.17349369297221e-07i
34.991455078125+0i,410.676201245437-1.05905162330076e-07i
35.3279113769531+0i,410.676201766933-9.72334085792348e-08i
35.6643676757812+0i,410.676202225338-8.42633873168464e-08i
36.0008239746094+0i,410.676202616896-6.65318010072325e-08i
36.3372802734375+0i,410.67620291134-4.5945325584455e-08i
36.6737365722656+0i,410.676203047174-2.87058501990958e-08i
37.0101928710938+0i,410.676203032609-1.74360006006929e-08i
37.3466491699219+0i,410.676202926508-1.20130979189833e-08i
37.68310546875+0i,410.676202818196-9.64451434753661e-09i
38.0195617675781+0i,410.67620278052-7.17805637928783e-09i
38.3560180664062+0i,410.676202833166-3.10309646095236e-09i
38.6924743652344+0i,410.676202940899+2.38686859990827e-09i
39.0289306640625+0i,410.676203044963+7.36707772269578e-09i
39.3653869628906+0i,410.676203098597+1.09152130916442e-08i
39.7018432617188+0i,410.676203096273+1.39114673995089e-08i
40.0382995605469+0i,410.676203054324+1.79919014004096e-08i
40.374755859375+0i,410.676202991687+2.42385564643581e-08i
40.7112121582031+0i,410.676202904517+3.30265455521419e-08i
41.0476684570312+0i,410.676202755244+4.21668714634824e-08i
41.3841247558594+0i,410.676202509135+4.83421113990995e-08i
41.7205810546875+0i,410.676202141409+4.9214881087203e-08i
42.0570373535156+0i,410.676201666378+4.46563612975482e-08i
42.3934936523438+0i,410.676201156698+3.67534671289565e-08i
42.7299499511719+0i,410.676200693606+3.00865757526937e-08i
43.06640625+0i,410.676200370551+2.86135131136606e-08i
43.4028625488281+0i,410.676200236087+3.52089425481159e-08i
43.7393188476562+0i,410.676200264996+4.92969790259655e-08i
44.0757751464844+0i,410.676200393743+6.73972635136655e-08i
44.4122314453125+0i,410.676200539523+8.52903117618726e-08i
44.7486877441406+0i,410.676200621849+9.94000851559169e-08i
45.0851440429688+0i,410.676200625784+1.09031440869499e-07i
45.4216003417969+0i,410.676200554282+1.15891509204859e-07i
45.758056640625+0i,410.676200405537+1.22268460635914e-07i
46.0945129394531+0i,410.676200190757+1.29172536049015e-07i
46.4309692382812+0i,410.676199860576+1.33818678848815e-07i
46.7674255371094+0i,410.67619933534+1.28913253886369e-07i
47.1038818359375+0i,410.67619855149+1.07721642594156e-07i
47.4403381347656+0i,410.676197543913+6.76807573780576e-08i
47.7767944335938+0i,410.676196396386+1.47849334956789e-08i
48.1132507324219+0i,410.676195323861-3.37047416621347e-08i
48.44970703125+0i,410.676194578033-5.72076537334405e-08i
48.7861633300781+0i,410.676194360302-3.82823334503017e-08i
49.1226196289062+0i,410.676194743694+2.76799023344551e-08i
49.4590759277344+0i,410.676195559676+1.24523268408898e-07i
49.7955322265625+0i,410.676196534266+2.22587533620407e-07i
50.1319885253906+0i,410.676197407362+2.93054502616383e-07i
50.4684448242188+0i,410.676198001949+3.2225583345361e-07i
50.8049011230469+0i,410.6761983564+3.21596605063776e-07i
51.141357421875+0i,410.676198603649+3.20438693050068e-07i
51.4778137207031+0i,410.676198826629+3.43105192019763e-07i
51.8142700195312+0i,410.676198818233+3.86444302083832e-07i
52.1507263183594+0i,410.676198090882+4.04272660160647e-07i
52.4871826171875+0i,410.676195933956+3.21730320042083e-07i
52.8236389160156+0i,410.676191810324+7.11659332830542e-08i
53.1600952148438+0i,410.676185709907-3.64823023561408e-07i
53.4965515136719+0i,410.676178365559-9.2129542187777e-07i
53.8330078125+0i,410.676171141003-1.45774425499051e-06i
54.1694641113281+0i,410.676165540309-1.8078320233923e-06i
54.5059204101562+0i,410.676162714775-1.83686157034956e-06i
54.8423767089844+0i,410.676162911215-1.50697433685269e-06i
55.1788330078125+0i,410.676165533777-8.86117665162103e-07i
55.5152893066406+0i,410.676169169761-1.31129073920145e-07i
55.8517456054688+0i,410.676172430008+5.93469504097767e-07i
56.1882019042969+0i,410.67617421564+1.16742713542362e-06i
56.524658203125+0i,410.676174140398+1.55434250780318e-06i
56.8611145019531+0i,410.676172220674+1.78597099555328e-06i
57.1975708007812+0i,410.67616870529+1.92274308916184e-06i
57.5340270996094+0i,410.676163593208+1.9990367110394e-06i
57.8704833984375+0i,410.676156600974+2.00121031319686e-06i
58.2069396972656+0i,410.676147240786+1.87327361785527e-06i
58.5433959960938+0i,410.6761353805+1.57124679239952e-06i
58.8798522949219+0i,410.676121300393+1.09537527222245e-06i
59.21630859375+0i,410.67610588949+5.15543591992012e-07i
59.5527648925781+0i,410.676090530984-3.18347850896317e-08i
59.8892211914062+0i,410.676076366906-4.05919765211094e-07i
60.2256774902344+0i,410.676064083129-4.92369220231256e-07i
60.5621337890625+0i,410.676053773942-2.3748466231377e-07i
60.8985900878906+0i,410.676044516854+3.27894548145964e-07i
61.2350463867188+0i,410.676035063908+1.1296063393341e-06i
61.5715026855469+0i,410.676023938783+2.07615528149184e-06i
61.907958984375+0i,410.676009410391+3.0637179765777e-06i
