0.336456298828125+0i,411.924635830631-6.76708384912228e-12i
0.67291259765625+0i,411.924635827103-1.67664467517284e-11i
1.00936889648438+0i,411.924635823911-2.92654041210673e-11i
1.3458251953125+0i,411.924635822958-4.05959224673229e-11i
1.68228149414062+0i,411.924635824747-4.62574307762415e-11i
2.01873779296875+0i,411.924635827724-4.59936410606895e-11i
2.35519409179688+0i,411.924635830787-4.19684582287099e-11i
2.691650390625+0i,411.924635833466-4.39017891722462e-11i
3.02810668945312+0i,411.924635836143-6.05481318375271e-11i
3.36456298828125+0i,411.9246358362-1.06837304647744e-10i
3.70101928710938+0i,411.924635828968-1.73254512809228e-10i
4.0374755859375+0i,411.924635805358-2.80708836955186e-10i
4.37393188476562+0i,411.924635758558-3.89034302575234e-10i
4.71038818359375+0i,411.924635682645-5.03197051685827e-10i
5.04684448242188+0i,411.92463558816-6.15252937876321e-10i
5.38330078125+0i,411.924635481795-7.55587426360012e-10i
5.71975708007812+0i,411.924635382927-1.00636127607699e-09i
6.05621337890625+0i,411.924635298983-1.52720960633792e-09i
6.39266967773438+0i,411.924635223178-2.50356077905214e-09i
6.7291259765625+0i,411.924635135698-4.0323539508455e-09i
7.06558227539062+0i,411.924635008713-6.09089066181704e-09i
7.40203857421875+0i,411.924634819677-8.50695894971624e-09i
7.73849487304688+0i,411.924634555472-1.08651337303587e-08i
8.074951171875+0i,411.924634228432-1.25472111194435e-08i
8.41140747070312+0i,411.924633867787-1.33063363347827e-08i
8.74786376953125+0i,411.924633514608-1.27638360269376e-08i
9.08432006835938+0i,411.924633206982-1.14316323148298e-08i
9.4207763671875+0i,411.924632988218-9.62995319240599e-09i
9.75723266601562+0i,411.924632857484-8.39753890134412e-09i
10.0936889648438+0i,411.924632805081-8.19038857286798e-09i
10.4301452636719+0i,411.924632797218-1.04067918724988e-08i
10.7666015625+0i,411.924632764754-1.4766797581841e-08i
11.1030578613281+0i,411.924632647444-2.18553483870546e-08i
11.4395141601562+0i,411.924632388046-3.11737951163263e-08i
11.7759704589844+0i,411.924631954606-4.17423436804119e-08i
12.1124267578125+0i,411.924631352343-5.39742962575233e-08i
12.4488830566406+0i,411.924630618025-6.58980877820973e-08i
12.7853393554688+0i,411.924629838743-7.71663439501551e-08i
13.1217956542969+0i,411.924629085138-8.69936996831965e-08i
13.458251953125+0i,411.924628437406-9.67394739915082e-08i
13.7947082519531+0i,411.924627934955-1.05993331755151e-07i
14.1311645507812+0i,411.924627575818-1.16771555643913e-07i
14.4676208496094+0i,411.924627323122-1.30524473595829e-07i
14.8040771484375+0i,411.924627120917-1.46567297468979e-07i
15.1405334472656+0i,411.924626911615-1.6645998960254e-07i
15.4769897460938+0i,411.924626661857-1.8885190022909e-07i
15.8134460449219+0i,411.924626373966-2.13782128176701e-07i
16.14990234375+0i,411.924626080558-2.37554818482134e-07i
16.4863586425781+0i,411.924625821662-2.59423882145166e-07i
16.8228149414062+0i,411.92462563001-2.80035369124471e-07i
17.1592712402344+0i,411.924625541234-2.9700387627059e-07i
17.4957275390625+0i,411.924625529849-3.13183980736042e-07i
17.8321838378906+0i,411.924625570009-3.30041148478586e-07i
18.1686401367188+0i,411.924625605677-3.48142379822894e-07i
18.5050964355469+0i,411.924625572902-3.69547357529683e-07i
18.841552734375+0i,411.924625413447-3.96537295921396e-07i
19.1780090332031+0i,411.92462507439-4.29261294452527e-07i
19.5144653320312+0i,411.924624570308-4.63411258479708e-07i
19.8509216308594+0i,411.924623902941-5.01664764974337e-07i
20.1873779296875+0i,411.924623142966-5.38558480676017e-07i
20.5238342285156+0i,411.92462237149-5.72382366611302e-07i
20.8602905273438+0i,411.924621682399-5.99136170266296e-07i
21.1967468261719+0i,411.924621169764-6.18857707229926e-07i
21.533203125+0i,411.92462089766-6.31896510994997e-07i
21.8696594238281+0i,411.924620879448-6.3430605561908e-07i
22.2061157226562+0i,411.924621106098-6.28063319470825e-07i
22.5425720214844+0i,411.924621491507-6.18763109776362e-07i
22.8790283203125+0i,411.924621953933-6.07405655055638e-07i
23.2154846191406+0i,411.924622388167-5.97829490298721e-07i
23.5519409179688+0i,411.924622717577-5.92338178835483e-07i
23.8883972167969+0i,411.924622872579-5.94855407178612e-07i
24.224853515625+0i,411.924622829289-6.04502802992367e-07i
24.5613098144531+0i,411.92462258013-6.24363678862969e-07i
24.8977661132812+0i,411.924622155771-6.55498225997601e-07i
25.2342224121094+0i,411.9246215895-6.99711081662538e-07i
25.5706787109375+0i,411.924620951082-7.52806523558266e-07i
25.9071350097656+0i,411.924620274894-8.19876550970371e-07i
26.2435913085938+0i,411.924619615631-8.94758705785139e-07i
26.5800476074219+0i,411.924619029075-9.77554883924391e-07i
26.91650390625+0i,411.924618495148-1.06822795719869e-06i
27.2529602050781+0i,411.924618046165-1.15869840484013e-06i
27.5894165039062+0i,411.924617650214-1.24659790265162e-06i
27.9258728027344+0i,411.924617291186-1.32788343374993e-06i
28.2623291015625+0i,411.924616957197-1.39689315572381e-06i
28.5987854003906+0i,411.924616603917-1.4566719315192e-06i
28.9352416992188+0i,411.92461625003-1.50239501098645e-06i
29.2716979980469+0i,411.924615858217-1.53852733505698e-06i
29.608154296875+0i,411.9246154319-1.5716260605353e-06i
29.9446105957031+0i,411.924614972704-1.60519465593018e-06i
30.2810668945312+0i,411.924614453987-1.64234304282217e-06i
30.6175231933594+0i,411.924613910154-1.69068892296033e-06i
30.9539794921875+0i,411.924613296658-1.76030642513715e-06i
31.2904357910156+0i,411.924612628665-1.84497997798274e-06i
31.6268920898438+0i,411.924611895882-1.94904221397267e-06i
31.9633483886719+0i,411.924611113065-2.0666324233429e-06i
32.2998046875+0i,411.924610285493-2.19678056019467e-06i
32.6362609863281+0i,411.924609418032-2.32977923650388e-06i
32.9727172851562+0i,411.924608557784-2.45469915672186e-06i
33.3091735839844+0i,411.92460772913-2.57683658547217e-06i
33.6456298828125+0i,411.924606956057-2.68723970833048e-06i
33.9820861816406+0i,411.924606287845-2.78733103216329e-06i
34.3185424804688+0i,411.924605707153-2.88117133685052e-06i
34.6549987792969+0i,411.924605224536-2.98144001990871e-06i
34.991455078125+0i,411.924604801394-3.08624100100271e-06i
35.3279113769531+0i,411.924604430165-3.21242103399453e-06i
35.6643676757812+0i,411.924604038859-3.35950360680149e-06i
36.0008239746094+0i,411.924603615049-3.53681702476276e-06i
36.3372802734375+0i,411.924603122448-3.73898600448335e-06i
36.6737365722656+0i,411.924602544797-3.95717627913596e-06i
37.0101928710938+0i,411.924601888242-4.17674109989594e-06i
37.3466491699219+0i,411.924601122207-4.40456953221585e-06i
37.68310546875+0i,411.924600300118-4.6099320290449e-06i
38.0195617675781+0i,411.924599439536-4.79680851579056e-06i
38.3560180664062+0i,411.924598536811-4.95464886464762e-06i
38.6924743652344+0i,411.924597633668-5.09461727200693e-06i
39.0289306640625+0i,411.924596734631-5.22146546304802e-06i
39.3653869628906+0i,411.924595847206-5.34655019311334e-06i
39.7018432617188+0i,411.924594958081-5.5048835449947e-06i
40.0382995605469+0i,411.92459410963-5.69080795087975e-06i
40.374755859375+0i,411.924593274796-5.925652746307e-06i
40.7112121582031+0i,411.92459245657-6.21046111867842e-06i
41.0476684570312+0i,411.924591650017-6.55165368650097e-06i
41.3841247558594+0i,411.924590781807-6.94868533239602e-06i
41.7205810546875+0i,411.924589908299-7.35860146725633e-06i
42.0570373535156+0i,411.924588893636-7.79652233183371e-06i
42.3934936523438+0i,411.924587764319-8.2167225255228e-06i
42.7299499511719+0i,411.924586423356-8.62832620016163e-06i
43.06640625+0i,411.924584848989-9.02111423013191e-06i
43.4028625488281+0i,411.924582969706-9.4026668065002e-06i
43.7393188476562+0i,411.924580775217-9.78935815988045e-06i
44.0757751464844+0i,411.924578243008-1.01949772969677e-05i
44.4122314453125+0i,411.924575403166-1.06588041596381e-05i
44.7486877441406+0i,411.924572271809-1.12128843446175e-05i
45.0851440429688+0i,411.924568975924-1.18594814970134e-05i
45.4216003417969+0i,411.924565560381-1.26249851220171e-05i
45.758056640625+0i,411.924562196796-1.34619222950648e-05i
46.0945129394531+0i,411.924558903195-1.44083623191331e-05i
46.4309692382812+0i,411.92455579168-1.53983441153084e-05i
46.7674255371094+0i,411.92455281024-1.6420877563881e-05i
47.1038818359375+0i,411.924550001183-1.74312781996761e-05i
47.4403381347656+0i,411.924547191693-1.84190488624215e-05i
47.7767944335938+0i,411.92454430181-1.93795748312447e-05i
48.1132507324219+0i,411.924541175139-2.03302303568396e-05i
48.44970703125+0i,411.924537635865-2.13010580445849e-05i
48.7861633300781+0i,411.92453364675-2.23247216252319e-05i
49.1226196289062+0i,411.924529034653-2.34787755496017e-05i
49.4590759277344+0i,411.924523911272-2.47739946694957e-05i
49.7955322265625+0i,411.924518275391-2.62532542146463e-05i
50.1319885253906+0i,411.924512297232-2.79307556610519e-05i
50.4684448242188+0i,411.924506142702-2.976598702539e-05i
50.8049011230469+0i,411.924499958107-3.17305635059908e-05i
51.141357421875+0i,411.924493894486-3.3768449107376e-05i
51.4778137207031+0i,411.924488032787-3.58118089288704e-05i
51.8142700195312+0i,411.924482289311-3.78358843265875e-05i
52.1507263183594+0i,411.924476611611-3.97933150741474e-05i
52.4871826171875+0i,411.924470676028-4.17128129267015e-05i
52.8236389160156+0i,411.924464208603-4.36720528026967e-05i
53.1600952148438+0i,411.924456847261-4.57743344004174e-05i
53.4965515136719+0i,411.924448285988-4.81621411955292e-05i
53.8330078125+0i,411.924438290038-5.09784164983279e-05i
54.1694641113281+0i,411.924426618812-5.44252600355006e-05i
54.5059204101562+0i,411.924413228916-5.86222481255421e-05i
54.8423767089844+0i,411.924398171922-6.36964048529985e-05i
55.1788330078125+0i,411.924381533621-6.96702182951565e-05i
55.5152893066406+0i,411.924363572216-7.65640703328143e-05i
55.8517456054688+0i,411.924344380851-8.42603214439256e-05i
56.1882019042969+0i,411.924324298106-9.26693908731459e-05i
