0.336456298828125+0i,411.924635833764-3.49961745391444e-12i
0.67291259765625+0i,411.924635834298-7.72100990232595e-12i
1.00936889648438+0i,411.924635833922-1.34747636407291e-11i
1.3458251953125+0i,411.924635832867-1.84288658628129e-11i
1.68228149414062+0i,411.924635830059-2.39030943753116e-11i
2.01873779296875+0i,411.924635826986-2.64189268357613e-11i
2.35519409179688+0i,411.924635825301-2.73431129238116e-11i
2.691650390625+0i,411.924635826217-1.99236945007297e-11i
3.02810668945312+0i,411.924635830755-3.11662538100386e-12i
3.36456298828125+0i,411.924635836295+2.53773169305417e-11i
3.70101928710938+0i,411.924635837588+7.10597989075949e-11i
4.0374755859375+0i,411.924635827178+1.01420595832894e-10i
4.37393188476562+0i,411.924635798007+1.13520225078122e-10i
4.71038818359375+0i,411.924635744593+7.35746909842611e-11i
5.04684448242188+0i,411.9246356702-5.17486978840286e-11i
5.38330078125+0i,411.924635578288-2.27902431843493e-10i
5.71975708007812+0i,411.924635486241-4.60047459931273e-10i
6.05621337890625+0i,411.92463540495-6.81066367075469e-10i
6.39266967773438+0i,411.924635343272-7.64945025298295e-10i
6.7291259765625+0i,411.924635302041-7.64267958320806e-10i
7.06558227539062+0i,411.924635272323-5.96013584806484e-10i
7.40203857421875+0i,411.924635232493-2.17017725101058e-10i
7.73849487304688+0i,411.924635156174+1.95926503554731e-10i
8.074951171875+0i,411.924635015196+5.72041064955611e-10i
8.41140747070312+0i,411.92463479486+6.26954458925449e-10i
8.74786376953125+0i,411.924634478922+3.05096456407661e-10i
9.08432006835938+0i,411.92463407835-8.79676520306581e-10i
9.4207763671875+0i,411.924633605379-2.99138652820717e-09i
9.75723266601562+0i,411.924633081784-6.38899202122814e-09i
10.0936889648438+0i,411.924632546656-1.04581197662822e-08i
10.4301452636719+0i,411.924632009876-1.59704096345912e-08i
10.7666015625+0i,411.924631499565-2.20498878925227e-08i
11.1030578613281+0i,411.924631017102-2.88987515247218e-08i
11.4395141601562+0i,411.924630567362-3.65181129255059e-08i
11.7759704589844+0i,411.924630139779-4.46450432936085e-08i
12.1124267578125+0i,411.924629731183-5.33997082602151e-08i
12.4488830566406+0i,411.924629339716-6.28013392559436e-08i
12.7853393554688+0i,411.924628960865-7.23191707749066e-08i
13.1217956542969+0i,411.924628593277-8.20026534885402e-08i
13.458251953125+0i,411.92462822493-9.14664219891238e-08i
13.7947082519531+0i,411.924627860276-1.00264473486651e-07i
14.1311645507812+0i,411.924627493326-1.07344698115614e-07i
14.4676208496094+0i,411.924627108724-1.13809507800864e-07i
14.8040771484375+0i,411.924626699377-1.18508599324481e-07i
15.1405334472656+0i,411.924626254941-1.22469185176477e-07i
15.4769897460938+0i,411.924625774817-1.26153402859114e-07i
15.8134460449219+0i,411.92462525286-1.3036601898124e-07i
16.14990234375+0i,411.924624698677-1.36574157397936e-07i
16.4863586425781+0i,411.92462412983-1.45774131246983e-07i
16.8228149414062+0i,411.924623551093-1.61009780770679e-07i
17.1592712402344+0i,411.924622994483-1.80253329206396e-07i
17.4957275390625+0i,411.924622460642-2.06790108886834e-07i
17.8321838378906+0i,411.924621981516-2.38928852486023e-07i
18.1686401367188+0i,411.924621561506-2.76005486568697e-07i
18.5050964355469+0i,411.924621213415-3.15467826265735e-07i
18.841552734375+0i,411.924620940247-3.59780191183309e-07i
19.1780090332031+0i,411.924620766658-4.01872750272533e-07i
19.5144653320312+0i,411.924620647298-4.43196516952063e-07i
19.8509216308594+0i,411.924620606017-4.81984054718399e-07i
20.1873779296875+0i,411.924620601986-5.16518900634388e-07i
20.5238342285156+0i,411.924620604531-5.4949111474114e-07i
20.8602905273438+0i,411.92462058288-5.80285543727945e-07i
21.1967468261719+0i,411.924620514979-6.0927488220161e-07i
21.533203125+0i,411.92462036226-6.40447259647896e-07i
21.8696594238281+0i,411.924620120754-6.71281696381309e-07i
22.2061157226562+0i,411.924619778194-7.09592293398223e-07i
22.5425720214844+0i,411.924619347072-7.47022863922611e-07i
22.8790283203125+0i,411.924618829515-7.92741196668106e-07i
23.2154846191406+0i,411.924618243759-8.42035907174081e-07i
23.5519409179688+0i,411.924617646993-8.90246722251218e-07i
23.8883972167969+0i,411.924617053636-9.45556999704682e-07i
24.224853515625+0i,411.924616500729-9.97683559853318e-07i
24.5613098144531+0i,411.924615999132-1.05037278968794e-06i
24.8977661132812+0i,411.924615552088-1.10013235473358e-06i
25.2342224121094+0i,411.924615150481-1.15037763279249e-06i
25.5706787109375+0i,411.924614779589-1.1957875631581e-06i
25.9071350097656+0i,411.92461441362-1.24383809942466e-06i
26.2435913085938+0i,411.924614019733-1.28837219708983e-06i
26.5800476074219+0i,411.924613596525-1.33778773269163e-06i
26.91650390625+0i,411.924613131373-1.39149336889258e-06i
27.2529602050781+0i,411.924612622111-1.44747033297606e-06i
27.5894165039062+0i,411.924612112666-1.50917368383636e-06i
27.9258728027344+0i,411.924611599005-1.57668538358026e-06i
28.2623291015625+0i,411.924611109112-1.64968718459735e-06i
28.5987854003906+0i,411.924610655591-1.72577822318364e-06i
28.9352416992188+0i,411.924610247206-1.80806116901177e-06i
29.2716979980469+0i,411.924609879769-1.89159613228431e-06i
29.608154296875+0i,411.924609530146-1.9780479433674e-06i
29.9446105957031+0i,411.924609177238-2.06378302922958e-06i
30.2810668945312+0i,411.924608807836-2.14695219642309e-06i
30.6175231933594+0i,411.924608384369-2.22646566418889e-06i
30.9539794921875+0i,411.92460790636-2.31152550371283e-06i
31.2904357910156+0i,411.924607406005-2.38678235332104e-06i
31.6268920898438+0i,411.92460685599-2.46516586585001e-06i
31.9633483886719+0i,411.924606316293-2.54213411894821e-06i
32.2998046875+0i,411.924605809709-2.62010401546406e-06i
32.6362609863281+0i,411.924605363903-2.70981766883745e-06i
32.9727172851562+0i,411.924604994013-2.80735103054699e-06i
33.3091735839844+0i,411.924604695506-2.92705115595958e-06i
33.6456298828125+0i,411.924604435758-3.06487617310042e-06i
33.9820861816406+0i,411.924604178508-3.23280144566572e-06i
34.3185424804688+0i,411.924603898289-3.42794382698201e-06i
34.6549987792969+0i,411.924603507676-3.64822016708779e-06i
34.991455078125+0i,411.924602995254-3.88362532203563e-06i
35.3279113769531+0i,411.924602277092-4.13940170239308e-06i
35.6643676757812+0i,411.924601372617-4.39711496327461e-06i
36.0008239746094+0i,411.924600243156-4.65189348908749e-06i
36.3372802734375+0i,411.924598935439-4.89296492705001e-06i
36.6737365722656+0i,411.924597492848-5.12180217098777e-06i
37.0101928710938+0i,411.924595959835-5.31761903484096e-06i
37.3466491699219+0i,411.924594406261-5.49862336334907e-06i
37.68310546875+0i,411.924592931574-5.66203692506569e-06i
38.0195617675781+0i,411.924591552286-5.81786602589619e-06i
38.3560180664062+0i,411.924590296494-5.9756278392373e-06i
38.6924743652344+0i,411.924589230008-6.14009800465829e-06i
39.0289306640625+0i,411.924588288743-6.32180425182388e-06i
39.3653869628906+0i,411.924587461852-6.53417677977586e-06i
39.7018432617188+0i,411.92458670353-6.76870339590009e-06i
40.0382995605469+0i,411.924585935893-7.02822475345808e-06i
40.374755859375+0i,411.924585108982-7.30361955425916e-06i
40.7112121582031+0i,411.924584150371-7.59325059724281e-06i
41.0476684570312+0i,411.924583012932-7.88097120693392e-06i
41.3841247558594+0i,411.924581623348-8.17916837585308e-06i
41.7205810546875+0i,411.924579953995-8.48265050210381e-06i
42.0570373535156+0i,411.924577948443-8.813389402795e-06i
42.3934936523438+0i,411.924575656304-9.16932683287239e-06i
42.7299499511719+0i,411.924573033318-9.58949004120495e-06i
43.06640625+0i,411.924570202289-1.00793771982155e-05i
43.4028625488281+0i,411.924567170757-1.06614327859244e-05i
43.7393188476562+0i,411.924564000201-1.13581777380285e-05i
44.0757751464844+0i,411.924560871656-1.2127972470532e-05i
44.4122314453125+0i,411.924557770318-1.30096750975218e-05i
44.7486877441406+0i,411.924554852338-1.39394800377633e-05i
45.0851440429688+0i,411.924552183566-1.48864781072472e-05i
45.4216003417969+0i,411.924549807313-1.58157982071278e-05i
45.758056640625+0i,411.924547734989-1.66664395194817e-05i
46.0945129394531+0i,411.924545902746-1.74550384944912e-05i
46.4309692382812+0i,411.924544210145-1.81459948466583e-05i
46.7674255371094+0i,411.924542531766-1.87629907113595e-05i
47.1038818359375+0i,411.924540688353-1.93495309954351e-05i
47.4403381347656+0i,411.924538506535-1.99584175717429e-05i
47.7767944335938+0i,411.924535734945-2.06702203209985e-05i
48.1132507324219+0i,411.924532296889-2.15665303594121e-05i
48.44970703125+0i,411.92452803302-2.2705839092555e-05i
48.7861633300781+0i,411.924522914083-2.41418561181231e-05i
49.1226196289062+0i,411.924516962185-2.59087955212119e-05i
49.4590759277344+0i,411.924510326849-2.79344115470682e-05i
49.7955322265625+0i,411.924503076286-3.02238925616672e-05i
50.1319885253906+0i,411.924495533597-3.26371872249341e-05i
50.4684448242188+0i,411.924487886127-3.50763415730598e-05i
50.8049011230469+0i,411.924480332716-3.74473223395504e-05i
51.141357421875+0i,411.924473027221-3.96411653226821e-05i
51.4778137207031+0i,411.924466035577-4.16011578970947e-05i
51.8142700195312+0i,411.924459228255-4.33224013437028e-05i
52.1507263183594+0i,411.92445246184-4.48679725492742e-05i
52.4871826171875+0i,411.924445410039-4.6333057247799e-05i
52.8236389160156+0i,411.924437796997-4.79036923843129e-05i
53.1600952148438+0i,411.924429152791-4.9819327669238e-05i
53.4965515136719+0i,411.924419300452-5.22109831553207e-05i
53.8330078125+0i,411.924407969517-5.53208192417845e-05i
54.1694641113281+0i,411.924394966573-5.93249677467306e-05i
54.5059204101562+0i,411.924380263583-6.42687479852457e-05i
54.8423767089844+0i,411.924363885312-7.02472796103324e-05i
55.1788330078125+0i,411.924346053204-7.71587560946298e-05i
55.5152893066406+0i,411.924326872512-8.49424565409225e-05i
55.8517456054688+0i,411.924306664931-9.33852944092538e-05i
56.1882019042969+0i,411.924285675892-0.000102243292752963i
56.524658203125+0i,411.924263952013-0.000111387668668893i
56.8611145019531+0i,411.924241624019-0.000120604588820753i
57.1975708007812+0i,411.924218439579-0.000129858378015834i
57.5340270996094+0i,411.924194213696-0.0001391277595725i
57.8704833984375+0i,411.924168482241-0.000148533421042593i
58.2069396972656+0i,411.924140594353-0.00015843070649861i
58.5433959960938+0i,411.924109951283-0.000169104212895496i
58.8798522949219+0i,411.924075801584-0.000181001105597676i
59.21630859375+0i,411.924037273514-0.000194635411917725i
59.5527648925781+0i,411.923993473462-0.000210528009129826i
59.8892211914062+0i,411.923943674944-0.000229141972305936i
60.2256774902344+0i,411.923886889814-0.000250875663077337i
60.5621337890625+0i,411.923822021582-0.00027625192740569i
60.8985900878906+0i,411.923748164896-0.000305527100606703i
61.2350463867188+0i,411.923664077602-0.000339199623424705i
61.5715026855469+0i,411.9235684028-0.000377699420430687i
61.907958984375+0i,411.923459723452-0.000421540763717028i
62.2444152832031+0i,411.923336210578-0.000471464576356676i
62.5808715820312+0i,411.923195705675-0.000528591812410232i
62.9173278808594+0i,411.923035547243-0.000594324861764783i
63.2537841796875+0i,411.922852588622-0.000670362333136962i
63.5902404785156+0i,411.922642545208-0.00075903225001429i
63.9266967773438+0i,411.922400510404-0.000862965267324306i
64.2631530761719+0i,411.922119953981-0.000985611096199992i
64.599609375+0i,411.921793491455-0.00113049348326288i
64.9360656738281+0i,411.921411463361-0.0013021090086361i
65.2725219726562+0i,411.920962777092-0.00150535686429344i
65.6089782714844+0i,411.920434941911-0.00174585112225084i
65.9454345703125+0i,411.919812576663-0.00203030823880938i
66.2818908691406+0i,411.919078920117-0.00236638939465544i
66.6183471679688+0i,411.918214422799-0.00276346630901331i
66.9548034667969+0i,411.917196621871-0.00323298066235639i
67.291259765625+0i,411.915999349249-0.0037891559099988i
67.6277160644531+0i,411.914592758018-0.00444899714651815i
67.9641723632812+0i,411.912939956796-0.00523441998205427i
68.3006286621094+0i,411.910999314706-0.0061706508770757i
68.6370849609375+0i,411.908720495484-0.00728881840328127i
68.9735412597656+0i,411.906044308511-0.0086250439422287i
69.3099975585938+0i,411.902903915389-0.0102199660020384i
69.6464538574219+0i,411.899221837762-0.012121480152873i
69.98291015625+0i,411.894914746718-0.0143795358707719i
70.3193664550781+0i,411.889892997603-0.0170500582659882i
70.6558227539062+0i,411.884065438473-0.0201906303014065i
70.9922790527344+0i,411.877326376045-0.0238695926100326i
71.3287353515625+0i,411.869568734542-0.0281606084148047i
71.6651916503906+0i,411.860704256853-0.0331316675214553i
72.0016479492188+0i,411.850657214863-0.0388519812081752i
72.3381042480469+0i,411.839369976838-0.0453872273661874i
72.674560546875+0i,411.826805837107-0.0527972628032413i
73.0110168457031+0i,411.812952892541-0.0611339080680333i
73.3474731445312+0i,411.797825777835-0.070436353122205i
73.6839294433594+0i,411.781472500501-0.0807242232090009i
74.0203857421875+0i,411.763968219886-0.091997933805075i
74.3568420410156+0i,411.745426113374-0.104232853118874i
74.6932983398438+0i,411.725990143359-0.117374288868896i
75.0297546386719+0i,411.705836081847-0.131341161221864i
75.3662109375+0i,411.685174063784-0.146020710234416i
75.7026672363281+0i,411.664227915455-0.161286640371074i
76.0391235351562+0i,411.643242781594-0.176990271952088i
76.3755798339844+0i,411.622459245409-0.19298674633047i
76.7120361328125+0i,411.602111234869-0.2091283678376i
