Frequency (Hz),Mean
100.263977050781,0.19937822552485837
100.600433349609,0.19841761015916734
100.936889648438,0.19779689540563136
101.273345947266,0.19764289126473747
101.609802246094,0.19802945476909514
101.946258544922,0.19897874772644886
102.28271484375,0.20045465914061875
102.619171142578,0.20235290895168892
102.955627441406,0.20451077440216459
103.292083740234,0.2067115387422834
103.628540039062,0.20871553481223679
103.964996337891,0.21028827550608406
104.301452636719,0.21125164673353303
104.637908935547,0.21153162957166805
104.974365234375,0.21116026895436865
105.310821533203,0.21029015087977865
105.647277832031,0.20914165494707151
105.983734130859,0.2079659430551517
106.320190429688,0.20699297022036822
106.656646728516,0.20641392629483427
106.993103027344,0.20634912322538143
107.329559326172,0.2068446517467828
107.666015625,0.2078784240339192
108.002471923828,0.2093417369673801
108.338928222656,0.21107835671610065
108.675384521484,0.21287788164403806
109.011840820312,0.214520590324126
109.348297119141,0.21580983222128092
109.684753417969,0.2166150211710923
110.021209716797,0.21690191469935496
110.357666015625,0.21673312169570944
110.694122314453,0.21624788988342217
111.030578613281,0.2156364254726401
111.367034912109,0.2150889883256708
111.703491210938,0.2147640889269924
112.039947509766,0.21477232100175517
112.376403808594,0.21515643941023652
112.712860107422,0.21589558010049636
113.04931640625,0.21691043739103166
113.385772705078,0.2180754913805272
113.722229003906,0.21924453264975488
114.058685302734,0.22027270805240862
114.395141601562,0.2210439077739539
114.731597900391,0.22150435801235643
115.068054199219,0.22165477524690133
115.404510498047,0.22156323825553456
115.740966796875,0.22133815358980766
116.077423095703,0.22110147741364547
116.413879394531,0.22096949438974564
116.750335693359,0.22102530796077416
117.086791992188,0.22131240664920035
117.423248291016,0.22182671001350518
117.759704589844,0.22252286599270962
118.096160888672,0.22332339583142968
118.4326171875,0.22413605466015876
118.769073486328,0.22487324919415763
119.105529785156,0.22546052758409554
119.441986083984,0.2258664489124136
119.778442382812,0.22609628239151416
120.114898681641,0.22618588359420996
120.451354980469,0.226200119416154
120.787811279297,0.22621822880139827
121.124267578125,0.22630254203774847
121.460723876953,0.22650086818603213
121.797180175781,0.22683818355214144
122.133636474609,0.2273002922575207
122.470092773438,0.22786016224283348
122.806549072266,0.2284643781360487
123.143005371094,0.22905614778148076
123.479461669922,0.2295853274637989
123.81591796875,0.2300159377328023
124.152374267578,0.230334500582695
124.488830566406,0.23055220411803948
124.825286865234,0.23069791989354774
125.161743164062,0.23081383185782808
125.498199462891,0.23094032372101206
125.834655761719,0.2311168356239226
126.171112060547,0.23136507259640512
126.507568359375,0.2316926050079453
126.844024658203,0.23208965211921614
127.180480957031,0.23253208783234539
127.516937255859,0.23299476246062567
127.853393554688,0.23344278474095806
128.189849853516,0.23385391732129338
128.526306152344,0.23421177817779756
128.862762451172,0.23451553835132122
129.19921875,0.23477004641043855
129.535675048828,0.23499642103668983
129.872131347656,0.23521402731378085
130.208587646484,0.23544023484007534
130.545043945312,0.2356937810322293
130.881500244141,0.23598245114915228
131.217956542969,0.2363045210956938
131.554412841797,0.23665641941803736
131.890869140625,0.23702473838029178
132.227325439453,0.2373997359624104
132.563781738281,0.23776682286203288
132.900238037109,0.23811744197549967
133.236694335938,0.23844554430331547
133.573150634766,0.2387493742523845
133.909606933594,0.23903372298197592
134.246063232422,0.23929975707557505
134.58251953125,0.23955124284385867
134.918975830078,0.2397944904327615
135.255432128906,0.2400332860767799
135.591888427734,0.24026816725288036
135.928344726562,0.2405028412454434
136.264801025391,0.2407440846567195
136.601257324219,0.2409922866036807
136.937713623047,0.24125098236578735
137.274169921875,0.24152520296047697
137.610626220703,0.24181886085745574
137.947082519531,0.24212851784922926
138.283538818359,0.24245661043113198
138.619995117188,0.24279004758990963
138.956451416016,0.24312280123063945
139.292907714844,0.24344578752962223
139.629364013672,0.24374800570643182
139.9658203125,0.24402816930582172
140.302276611328,0.2442795578692467
140.638732910156,0.2445116305412399
140.975189208984,0.244732140920237
141.311645507812,0.24495617132845127
141.648101806641,0.24519960902320595
141.984558105469,0.24547235605474507
142.321014404297,0.24578564572497355
142.657470703125,0.2461353780198442
142.993927001953,0.24651283031427731
143.330383300781,0.24690314535558722
143.666839599609,0.24728243245407944
144.003295898438,0.24762589265962262
144.339752197266,0.2479214438920734
144.676208496094,0.24815151925283377
145.012664794922,0.2483140349333255
145.34912109375,0.24842814795926757
145.685577392578,0.24851304249418338
146.022033691406,0.2486043331270463
146.358489990234,0.24874200796814097
146.694946289062,0.24895686273507903
147.031402587891,0.2492769390645012
147.367858886719,0.2497154251331155
147.704315185547,0.2502638239579054
148.040771484375,0.2508977343010825
148.377227783203,0.2515795929801841
148.713684082031,0.2522637870975092
149.050140380859,0.2528966168582976
149.386596679688,0.25343736525052457
149.723052978516,0.2538583404239483
150.059509277344,0.25413611257972285
150.395965576172,0.2542751285213631
150.732421875,0.25428935892091814
151.068878173828,0.25420659881171453
151.405334472656,0.2540707494098778
151.741790771484,0.25391869110297205
152.078247070312,0.2537969282629264
152.414703369141,0.25373799185273455
152.751159667969,0.25376290136206986
153.087615966797,0.25388540749745403
153.424072265625,0.2540922616433633
153.760528564453,0.2543696202624884
154.096984863281,0.2546918594340597
154.433441162109,0.25502959921300555
154.769897460938,0.2553564664089391
155.106353759766,0.2556539120726154
155.442810058594,0.25591051621041666
155.779266357422,0.2561244937064125
156.11572265625,0.25629902576769137
156.452178955078,0.25645006596292985
156.788635253906,0.2565889592263513
157.125091552734,0.25673360013789365
157.461547851562,0.2568966401984674
157.798004150391,0.2570847634685447
158.134460449219,0.2573011958622335
158.470916748047,0.257546591875438
